phase,model_type,grid_id,compiler,run_id,n_states,n_actions,t_prepare,t_ground,t_compile,gp_atoms,gp_nodes,circuit_nodes,circuit_edges,status,error_msg
A,multivalued,0,ddnnf,1,,,,,,,,,,error,No module named 'src'
A,multivalued,0,ddnnf,2,,,,,,,,,,error,No module named 'src'
A,multivalued,0,ddnnf,3,,,,,,,,,,error,No module named 'src'
A,multivalued,0,sdd,1,,,,,,,,,,error,No module named 'src'
A,multivalued,0,sdd,2,,,,,,,,,,error,No module named 'src'
A,multivalued,0,sdd,3,,,,,,,,,,error,No module named 'src'
A,multivalued,1,ddnnf,1,,,,,,,,,,error,No module named 'src'
A,multivalued,1,ddnnf,2,,,,,,,,,,error,No module named 'src'
A,multivalued,1,ddnnf,3,,,,,,,,,,error,No module named 'src'
A,multivalued,1,sdd,1,,,,,,,,,,error,No module named 'src'
A,multivalued,1,sdd,2,,,,,,,,,,error,No module named 'src'
A,multivalued,1,sdd,3,,,,,,,,,,error,No module named 'src'
A,multivalued,2,ddnnf,1,,,,,,,,,,error,No module named 'src'
A,multivalued,2,ddnnf,2,,,,,,,,,,error,No module named 'src'
A,multivalued,2,ddnnf,3,,,,,,,,,,error,No module named 'src'
A,multivalued,2,sdd,1,,,,,,,,,,error,No module named 'src'
A,multivalued,2,sdd,2,,,,,,,,,,error,No module named 'src'
A,multivalued,2,sdd,3,,,,,,,,,,error,No module named 'src'
A,multivalued,3,ddnnf,1,,,,,,,,,,error,No module named 'src'
A,multivalued,3,ddnnf,2,,,,,,,,,,error,No module named 'src'
A,multivalued,3,ddnnf,3,,,,,,,,,,error,No module named 'src'
A,multivalued,3,sdd,1,,,,,,,,,,error,No module named 'src'
A,multivalued,3,sdd,2,,,,,,,,,,error,No module named 'src'
A,multivalued,3,sdd,3,,,,,,,,,,error,No module named 'src'
A,multivalued,4,ddnnf,1,,,,,,,,,,error,No module named 'src'
A,multivalued,4,ddnnf,2,,,,,,,,,,error,No module named 'src'
A,multivalued,4,ddnnf,3,,,,,,,,,,error,No module named 'src'
A,multivalued,4,sdd,1,,,,,,,,,,error,No module named 'src'
A,multivalued,4,sdd,2,,,,,,,,,,error,No module named 'src'
A,multivalued,4,sdd,3,,,,,,,,,,error,No module named 'src'
A,multivalued,5,ddnnf,1,,,,,,,,,,error,No module named 'src'
A,multivalued,5,ddnnf,2,,,,,,,,,,error,No module named 'src'
A,multivalued,5,ddnnf,3,,,,,,,,,,error,No module named 'src'
A,multivalued,5,sdd,1,,,,,,,,,,error,No module named 'src'
A,multivalued,5,sdd,2,,,,,,,,,,error,No module named 'src'
A,multivalued,5,sdd,3,,,,,,,,,,error,No module named 'src'
