phase,model_type,grid_id,compiler,run_id,n_states,n_actions,t_prepare,t_ground,t_compile,gp_atoms,gp_nodes,circuit_nodes,circuit_edges,status,error_msg,gamma,epsilon,t_vi,n_iterations,t_per_iter,n_wmc_transition,t_wmc_transition,t_per_transition,n_wmc_reward,t_wmc_reward,t_per_reward,t_bellman_total
B,multivalued,6,ddnnf,2,128,5,1.9683378379995702,1.1265488819917664,0.7809792059997562,903,2572,2572,3850,success,,0.9,0.1,19.752807290002238,15,1.3168538193334824,640,17.037469743925612,0.02662104647488377,640,1.51988304592669,0.0023748172592604534,1.1954545001499355
B,multivalued,6,ddnnf,3,128,5,1.9852536320104264,1.1174851600080729,0.8085931480018189,903,2572,2572,3850,success,,0.9,0.1,19.644488681995426,15,1.3096325787996952,640,16.980153479846194,0.026531489812259678,640,1.4966051860246807,0.0023384456031635636,1.1677300161245512
B,multivalued,6,ddnnf,1,128,5,1.8945188329962548,1.0817771599977277,0.7595193200104404,903,2572,2572,3850,success,,0.9,0.0001,19.28955335498904,15,1.2859702236659358,640,16.67362952194526,0.026052546128039467,640,1.4576620832231129,0.002277597005036114,1.1582617498206673
B,multivalued,6,ddnnf,2,128,5,1.880322316006641,1.0641430859977845,0.7624543179990724,903,2572,2572,3850,success,,0.9,0.0001,19.06066334201023,15,1.2707108894673487,640,16.496893336967332,0.025776395839011458,640,1.4383055501093622,0.0022473524220458785,1.1254644549335353
B,multivalued,6,ddnnf,3,128,5,1.8998743720003404,1.070884536995436,0.7704304020007839,903,2572,2572,3850,success,,0.9,0.0001,19.041531876995577,15,1.2694354584663718,640,16.451485027137096,0.025705445354901713,640,1.4412912796396995,0.0022520176244370305,1.148755570218782
B,multivalued,6,ddnnf,1,128,5,1.8626592570071807,1.0515126239915844,0.7572444140096195,903,2572,2572,3850,success,,0.99,0.1,18.977280182996765,15,1.2651520121997843,640,16.398693710871157,0.025622958923236183,640,1.4366200381482486,0.0022447188096066384,1.141966433977359
B,multivalued,6,ddnnf,2,128,5,1.8948572630033595,1.0713203479972435,0.7675714299984975,903,2572,2572,3850,success,,0.99,0.1,19.145299605006585,15,1.276353307000439,640,16.567669631098397,0.025886983798591244,640,1.4511692580126692,0.0022674519656447957,1.1264607158955187
B,multivalued,6,ddnnf,3,128,5,1.898395263007842,1.0831456890009576,0.7566638100106502,903,2572,2572,3850,success,,0.99,0.1,19.131814469001256,15,1.2754542979334171,640,16.53411510089063,0.025834554845141612,640,1.457413994910894,0.0022772093670482716,1.1402853731997311
B,multivalued,6,ddnnf,1,128,5,1.908732998999767,1.0956080139876576,0.7548849570011953,903,2572,2572,3850,success,,0.99,0.0001,19.23418342899822,15,1.282278895266548,640,16.600244074928924,0.02593788136707644,640,1.4632851331261918,0.0022863830205096746,1.1706542209431063
B,multivalued,6,ddnnf,2,128,5,1.8985179220035207,1.0851246700040065,0.76009652200446,903,2572,2572,3850,success,,0.99,0.0001,18.98606778300018,15,1.265737852200012,640,16.407851891053724,0.025637268579771444,640,1.4449921251652995,0.0022578001955707804,1.1332237667811569
